"","ISO","Language.Name","Altitude","Area","Bordering.languages","Bordering.languages.km","Extended","L1.pop","Polysynthetic","Roughness","Small.family","Vehicularity"
"1518","ega","Ega",179.9412308,15.98623918,0,0,0,2500,0,4.259774923,0,0
"1519","ego","Eggon",684.9346924,912.1220254,4,0.03461822,0,140000,0,5.532274246,0,0
"1520","ehu","Ehueun",380.1930084,199.3534448,4,0.072613564,0,14200,0,4.969872236,0,0
"1521","eip","Eipomek",1920.527695,671.3442717,3,0.025236728,0,3000,0,5.931137681,0,0
"1522","eit","Eitiep",798.9605103,36.96955325,4,0.152964033,0,500,0,5.861983538,0,0
"1523","eiv","Askopan",520.0935974,528.2109417,6,0.058278758,0,1200,0,6.399749279,0,0
"1524","eja","Ejamat",32.27769279,575.136721,3,0.023610315,0,8230,0,2.920206865,0,0
"1525","eka","Ekajuk",727.786972,428.7380103,6,0.051307831,0,63000,0,5.333243728,0,0
"1526","eke","Ekit",423.7205048,287.7329308,6,0.077371169,0,200000,0,5.603181601,0,0
"1527","ekg","Ekari",1554.899414,12236.49255,8,0.013287587,0,100000,0,7.059056282,0,0
"1528","eki","Eki",370.4517517,79.64455538,4,0.118806551,0,5000,0,4.67139864,0,0
"1529","ekk","Estonian",122.3595352,45437.99628,5,0.001512768,0,1040000,0,4.039903164,0,1
"1530","ekm","Elip",786.6901398,458.0805968,7,0.073475302,0,6400,0,5.513936996,0,0
"1531","eko","Koti",271.7741013,657.4229103,3,0.009344054,0,77000,0,4.613827229,0,0
"1532","ekp","Ekpeye",168.0540466,744.1709189,8,0.065757382,0,30000,0,3.472975969,0,0
"1533","ekr","Yace",604.9888153,188.5463124,3,0.0501852,0,50000,0,5.125546932,0,0
"1534","eky","Eastern Kayah",854.3030243,4280.805831,6,0.010489191,0,26000,0,6.001437902,0,0
"1535","ele","Elepi",753.1196289,12.43254945,2,0.117753819,0,330,0,5.36567688,0,0
"1536","elh","El Hugeirat",194.3443298,681.8249264,1,0.010569817,0,50,0,4.087134123,0,0
"1537","eli","Nding",174.4994125,652.8716936,0,0,0,0,0,3.221096754,0,0
"1538","elk","Elkei",798.9605103,110.0078935,5,0.092423097,0,1640,0,5.861983538,0,0
"1539","ell","Modern Greek",690.2717896,186727.4195,24,0.001518991,0,11846920,0,6.503797054,0,1
"1540","elm","Eleme",269.6792212,82.68834238,3,0.086256066,0,58000,0,4.263822079,0,0
"1541","elo","El Molo",876.3657227,27370.44707,0,0,0,8,0,6.05163455,0,0
"1542","elu","Elu",71.9605484,13.00724638,2,0.128349837,0,220,0,4.823676586,0,0
"1543","ema","Emai-Iuleha-Ora",351.4570923,770.499034,9,0.068207299,0,100000,0,5.167666912,0,0
"1544","emb","Embaloh",497.4588013,2193.082167,4,0.010371094,0,10000,0,5.430763721,0,0
"1545","eme","Teko",161.475174,513.7525898,3,0.022987702,1,400,0,4.118048906,0,0
"1546","emg","Eastern Meohang",2185.364502,51.01331308,4,0.122566226,1,0,1,6.084828138,0,0
"1547","emi","Mussau-Emira",112.4737612,388.6248803,0,0,0,3651,0,4.551846027,0,0
"1548","emk","Eastern Maninkakan",140.8622475,90975.55397,13,0.006163783,0,3498000,0,3.881813407,0,1
"1549","emn","Eman",1106.72113,35.17455342,5,0.168513068,0,800,0,5.925098896,0,0
"1550","emp","Northern Emberá",1299.371582,26828.4987,8,0.003617528,0,72200,0,6.238219738,0,0
"1551","ems","Pacific Gulf Yupik",1025.041768,27804.21047,2,0.000329,1,300,1,6.474231561,0,0
"1552","emu","Eastern Muria",587.0518646,4728.315868,7,0.021725718,0,200000,0,5.391818047,0,0
"1553","emw","Emplawas",64.12904263,23.85323733,2,0.107977168,0,250,0,3.995591462,0,0
"1554","ena","Apali",2487.246094,599.462562,4,0.039167185,0,980,0,6.933227539,0,0
"1555","enb","Markweeta",1548.248291,2627.083373,6,0.023783634,0,180000,0,6.39795804,0,0
"1556","enc","En",905.8083649,6.398133933,1,0.106943007,0,200,0,5.901335478,0,0
"1557","end","Ende",574.1831055,662.2926992,2,0.01300559,0,110000,0,6.362447262,0,0
"1558","enf","Forest Enets",285.5864944,2873.510972,2,0.004261356,0,40,0,4.486697912,0,0
"1559","enh","Tundra Enets",123.2624029,2932.251077,2,0.005862361,0,40,0,4.076861699,0,0
"1560","enn","Engenni",168.0540466,193.5066598,5,0.07239628,0,20000,0,3.472975969,0,0
"1561","eno","Enggano",587.7759399,400.0588884,0,0,0,1500,0,3.636982381,0,0
"1562","enq","Enga",2458.823486,7284.87437,9,0.022575875,0,230000,0,6.990205526,0,0
"1563","enr","Emumu",988.9312134,648.9513622,5,0.043182328,0,2000,0,6.103123665,0,0
"1564","enu","Enu",782.0926819,1872.144801,0,0,0,30000,0,6.192025185,0,0
"1565","env","Enwan (Edu State)",351.4570923,114.7043942,6,0.148180446,0,14000,0,5.167666912,0,0
"1566","enw","Enwan (Akwa Ibom State)",423.7205048,75.44423144,4,0.101639139,0,15000,0,5.603181601,0,0
"1567","eot","Beti (Côte d'Ivoire)",180.5846939,282.855006,3,0.046152879,0,200,0,4.229865789,0,0
"1568","epi","Epie",168.0540466,219.2662943,6,0.081272198,0,12000,0,3.472975969,0,0
"1569","era","Eravallan",859.1639404,515.8036379,2,0.020543252,0,5000,0,6.48571682,0,0
"1570","erg","Sie",76.60994339,735.815889,1,0.006937294,0,1900,0,4.956988096,0,0
"1571","erh","Eruwa",168.0540466,391.4447481,3,0.032884969,0,64000,0,3.472975969,0,0
"1572","eri","Ogea",2141.664124,76.45191036,4,0.086624261,0,2210,0,7.110357523,0,0
"1573","erk","South Efate",128.09338,682.6799272,4,0.02086902,0,6000,0,5.000798941,0,0
"1574","ero","Stau-Dgebshes",1303.735718,7087.694118,5,0.010327181,1,45000,1,6.500953436,0,0
"1575","err","Erre",169.3298397,1274.765638,1,0.00524734,0,0,0,4.232854426,0,0
"1576","ers","Ersu",2236.854797,2604.093825,3,0.013218715,0,20000,0,6.808152914,0,0
"1577","ert","Eritai",1396.417938,771.7639751,3,0.027146406,0,530,0,6.374885559,0,0
"1578","erw","Erokwanas",751.7624969,126.1174006,4,0.066692896,0,200,0,5.963970661,0,0
"1579","ese","Ese Ejja",495.394989,5442.789173,2,0.00340077,0,730,0,4.093537649,0,0
"1580","esh","Eshtehardi",1749.946976,6407.464245,4,0.012182028,0,0,0,6.709452748,0,0
"1581","esi","North Alaskan Inupiatun",268.7459819,54559.12385,2,0.000244,1,0,1,4.334441821,0,0
"1582","esk","Seward Alaska Inupiatun",386.0428162,117428.903,1,0.000192,1,5580,1,5.513332844,0,0
"1583","esq","Esselen",622.3693848,2335.952913,4,0.011933441,0,80,0,6.064563274,1,0
"1584","ess","Central Siberian Yupik",26.0243597,6548.617599,2,0.001254941,1,1910,1,4.485457659,0,0
"1585","esu","Central Alaskan Yupik",259.3272552,127594.578,1,0.000181,1,10000,1,4.397289991,0,0
"1586","etb","Etebi",423.7205048,28.33393073,4,0.174352738,0,15000,0,5.603181601,0,0
"1587","etn","Eton (Vanuatu)",128.09338,12.05163528,1,0.063113139,0,500,0,5.000798941,0,0
"1588","eto","Eton-Mengisa",655.837265,3184.681685,8,0.030508097,0,52000,0,4.934914589,0,0
"1589","etr","Edolo",1974.992188,531.7661462,2,0.017969294,0,1670,0,6.05109024,0,0
"1590","ets","Yekhee",351.4570923,3025.029368,8,0.03095654,0,274000,0,5.167666912,0,0
"1591","etu","Ejagham",850.5851288,7886.935491,18,0.032928536,0,116700,0,5.540940523,0,0
"1592","etx","Eten",679.3311615,111.7567328,6,0.146340353,0,40000,0,5.087510467,0,0
"1593","etz","Semimi",740.1288452,2398.312818,3,0.011267234,0,1000,0,5.99274826,0,0
"1594","eus","Basque",713.8048782,9542.254386,5,0.006961436,0,544200,0,5.787246466,1,1
"1595","eve","Even",562.2880249,57000.93791,3,0.000735,0,5660,0,4.881514072,0,0
"1596","evh","Uvbie",98.00015259,202.7102095,4,0.065886783,0,19800,0,3.516828656,0,0
"1597","evn","Evenki",459.3560384,489058.3053,9,0.000365,0,16800,0,5.50103267,0,0
"1598","ewe","Ewe",298.1988068,16400.99435,20,0.02012679,0,3112000,0,4.86211729,0,1
"1599","ewo","Ewondo",322.1522522,15989.09744,13,0.013012479,0,578000,0,4.563074112,0,1
"1600","ext","Extremaduran",663.65271,5176.802449,3,0.007961515,0,201500,0,5.498247941,0,0
"1601","eya","Eyak",1199.899536,25969.78346,2,0.000999,1,50,1,6.521651268,0,0
"1602","eyo","Keiyo",1587.238464,3297.533797,4,0.015728886,0,314000,0,6.56069684,0,0
"1603","eze","Uzekwe",348.8528137,35.23359882,5,0.179952343,0,5000,0,4.741388559,0,0
"1604","faa","Fasu",1706.546753,2461.568234,4,0.01514805,0,1200,0,5.994637489,1,0
"1605","fad","Wagi (Papua New Guinea)",2141.664124,41.96436034,4,0.142418491,0,3380,0,7.110357523,0,0
"1606","faf","Fagani",262.2314034,819.3312587,2,0.011950911,0,900,0,5.653765519,0,0
"1607","fag","Finongan",1785.090088,42.3867593,4,0.148339184,0,1300,0,7.233548403,0,0
"1608","fai","Faiwol",2511.883057,3353.82452,9,0.025745931,0,4500,0,6.163995743,0,0
"1609","faj","Kulsab",2487.246094,24.77650109,2,0.103145139,0,50,0,6.933227539,0,0
"1610","fak","Fang (Cameroon)",1147.539795,48.50771947,6,0.213084953,0,2400,0,6.004099528,0,0
"1611","fal","South Fali",505.0318298,918.6664806,2,0.013365723,0,20000,0,5.355997562,0,0
"1612","fam","Fam",971.9898071,224.8488385,0,0,0,1000,0,5.629380584,0,0
"1613","fan","Fang (Equatorial Guinea)",405.0719833,89441.49193,17,0.006220332,0,1306100,0,4.971348405,0,1
"1614","fao","Faroese",53.07091141,1415.350102,0,0,0,45000,0,4.788253307,0,1
"1615","fap","Palor",33.80359268,16.06513374,1,0.066675167,0,10700,0,3.26093936,0,0
"1616","far","Fataleka",471.6794891,320.0143883,3,0.037350133,0,6700,0,5.977975368,0,0
"1617","fau","Fayu",1179.54332,2314.21891,6,0.025203993,0,1400,0,6.396161437,0,0
"1618","fax","Fala",664.126709,167.7033125,3,0.055894265,0,10500,0,5.630544186,0,0
"1619","fay","Fars Dialects",1433.184123,31757.37859,5,0.006498355,0,100000,0,6.536495686,0,0
"1620","fer","Feroge",216.3624496,419.8117035,7,0.089888302,0,8000,0,4.250904799,0,0
"1621","ffm","Maasina Fulfulde",119.8025703,290258.1137,28,0.007861308,0,1000000,0,3.661436915,0,0
"1622","fgr","Fongoro",333.6728973,5668.905379,6,0.01514698,0,0,0,4.609037161,0,0
"1623","fia","Nobiin",217.1295166,9965.117807,3,0.003821003,0,605000,0,4.329113364,0,0
"1624","fie","Fyer",877.9816895,30.97877546,3,0.120392325,0,26100,0,5.435926914,0,0
"1625","fij","Fijian",221.0307007,11608.76048,1,0.000402,0,330000,0,5.325935841,0,0
"1626","fil","Filipino",412.2036972,3928.271328,1,0.001410789,0,0,0,5.540220022,0,1
"1627","fin","Finnish",166.9784271,308994.1261,12,0.001037783,0,5138900,0,4.044405365,0,1
"1628","fip","Fipa",904.9875488,11393.42068,6,0.008306702,0,195000,0,6.165491581,0,0
"1629","fir","Firan",679.3311615,8.273038788,2,0.155867556,0,2500,0,5.087510467,0,0
"1630","fit","Tornedalen Finnish",400.9459839,37012.01867,4,0.002841015,0,60000,0,4.809094906,0,1
"1631","fiw","Fiwaga",1877.011841,362.7239446,3,0.041081056,0,300,0,6.338659883,1,0
"1632","fkv","Kven Finnish",230.2375997,1117.184904,5,0.006914439,0,5000,0,4.904464086,0,0
"1633","fla","Kalispel-Pend d'Oreille",1170.546326,1742.146943,2,0.008120782,1,64,1,6.293337107,0,0
"1634","flh","Foau",1447.895874,4938.051014,6,0.018615459,0,350,0,6.422052622,0,0
"1635","fli","Fali",467.9548645,309.7784353,7,0.077193263,0,25000,0,5.13854599,0,0
"1636","fll","North Fali",467.9548645,949.8750791,6,0.046332345,0,16000,0,5.13854599,0,0
"1637","fln","Flinders Island",242.7701874,835.7375715,2,0.01462849,0,0,0,4.67033124,0,0
"1638","flr","Fuliiru",978.7523041,3370.799499,7,0.02262279,0,400000,0,6.139311314,0,0
"1639","fmp","Fe'fe'",1330.718506,814.3218137,6,0.048735796,0,124000,0,6.410482407,0,0
"1640","fmu","Far Western Muria",218.4743805,1066.81863,3,0.025169081,0,400000,0,4.608170509,0,0
"1641","fni","Fania",124.7696419,4063.289287,9,0.02952669,0,1100,0,3.67289114,0,0
"1642","fod","Foodo",266.7806651,137.32818,3,0.065559324,0,24500,0,4.590976079,0,0
"1643","foi","Foi",1706.546753,1108.084875,3,0.019237511,0,2800,0,5.994637489,1,0
"1644","fon","Fon",338.9494247,5828.348672,19,0.029571686,0,1435500,0,4.765662193,0,1
"1645","for","Fore",1916.283508,713.4819417,7,0.053583458,0,17000,0,6.958115339,0,0
"1646","fos","Sirayaic",1091.506744,3015.243088,1,0.002770296,0,0,0,6.808021188,0,0
"1647","fqs","Momu-Fas",589.8666229,2004.716261,5,0.026200263,0,2500,0,6.021802902,1,0
"1648","frc","Cajun French",100.1923828,37000.1374,4,0.001243563,0,25600,0,3.061701059,0,0
"1649","frd","Fordata",53.47127247,972.9130686,0,0,0,50000,0,4.226109266,0,0
"1650","frp","Arpitan",1287.23056,47867.65144,5,0.00408781,0,137000,0,5.86130619,0,0
"1651","frq","Forak",1796.082153,4.423204439,3,0.359761039,0,280,0,7.287487507,0,0
"1652","frr","Northern Frisian",39.37290573,604.4835046,2,0.003918974,0,10000,0,3.498039484,0,0
"1653","frs","German Northern Low Saxon",338.8261948,123.4224379,1,0.020674592,0,2000,0,4.176306009,0,0
"1654","frt","Kiai",203.6951396,168.0244009,6,0.102301222,0,450,0,5.835590839,0,0
"1655","fry","Western Frisian",88.22812271,3031.212115,4,0.008357823,0,467000,0,3.798597813,0,1
"1656","fub","Adamawa Fulfulde",505.0318298,70429.46718,71,0.014431465,0,907000,0,5.355997562,0,1
"1657","fuc","Pulaar",66.41250896,186636.9385,26,0.003954217,0,3691000,0,3.205155313,0,0
"1658","fud","East Futuna",7.796545029,92.10242795,0,0,0,3600,0,1.55351313,0,0
"1659","fue","Borgu Fulfulde",209.1854019,4579.966625,3,0.004542108,0,280000,0,4.398528934,0,0
"1660","fuf","Pular",302.3517342,81704.50582,14,0.005358934,0,2779200,0,4.959545791,0,1
"1661","fuh","Western Niger Fulfulde",76.82649422,98569.65456,18,0.006045519,0,1230000,0,3.614328504,0,0
"1662","fui","Bagirmi Fulfulde",80.93772507,46081.87091,5,0.004610334,0,24000,0,2.921315074,0,0
"1663","fuj","Ko",336.9057007,274.8089119,1,0.015979261,0,2680,0,4.371409416,0,0
"1664","fun","Fulniô",585.3054199,1407.266936,1,0.00669731,0,2930,0,5.38087225,1,0
"1665","fuq","Central-Eastern Niger Fulfulde",106.1764145,343978.8091,7,0.001784696,0,450000,0,3.640650034,0,0
"1666","fur","Friulian",2014.708374,4756.986299,4,0.009748952,0,300000,0,6.640640497,0,0
"1667","fut","Futuna-Aniwa",135.4240723,18.06794286,0,0,0,1500,0,4.758507252,0,0
"1668","fuu","Furu",142.3881531,3306.022273,10,0.03546756,0,16000,0,4.378334284,0,0
"1669","fuv","Hausa States Fulfulde",269.8820686,34922.35815,9,0.007113313,0,11585000,0,3.989992976,0,1
"1670","fuy","Fuyug",1763.608978,2914.145408,8,0.03162314,0,14000,0,7.142966628,1,0
"1671","fvr","Fur",733.7064209,114596.0088,10,0.00501907,0,501800,0,5.79754734,1,0
"1672","fwa","Fwâi",282.3995056,91.89200103,2,0.044995208,0,1860,0,5.718149662,0,0
"1673","fwe","Fwe",149.5231476,3374.926597,6,0.021656661,0,10200,0,3.832846761,0,0
"1674","gaa","Ga",193.3315277,1675.617048,6,0.030450934,0,600000,0,4.635757685,0,0
"1675","gab","Gabri",192.6016693,513.3387191,4,0.038882241,0,34400,0,4.147084236,0,0
"1676","gad","Gaddang",1322.505371,800.9444895,8,0.052141457,0,30000,0,6.531216621,0,0
"1677","gae","Baniva de Maroa",533.9492207,25973.90737,6,0.006832589,1,650,1,4.409147322,0,0
"1678","gaf","Gende",2487.246094,572.3747827,4,0.040925411,0,8000,0,6.933227539,0,0
"1679","gag","Gagauz",231.6948204,17524.20092,5,0.002969963,0,168000,0,4.641865492,0,0
"1680","gah","Alekano",1963.67867,257.3407231,5,0.080002839,0,25000,0,6.884284019,0,0
"1681","gai","Borei",897.2494507,116.649894,4,0.078365918,0,2090,0,5.110510349,0,0
"1682","gaj","Gadsup",1916.283508,400.0034357,6,0.046346685,0,22100,0,6.958115339,0,0
"1683","gak","Gamkonora",267.2740326,82.80535678,2,0.051968154,0,1500,0,5.947149992,0,0
"1684","gal","Galoli-Talur",607.0228004,1187.269956,7,0.026109885,0,13680,0,6.233151197,0,0
"1685","gam","Kandawo",2487.246094,322.4052562,2,0.026250684,0,4000,0,6.933227539,0,0
"1686","gao","Gants",2487.246094,149.2391961,4,0.082132443,0,1880,0,6.933227539,0,0
"1687","gap","Gal",2141.664124,20.29299421,6,0.277070831,0,340,0,7.110357523,0,0
"1688","gaq","Gata'",758.1212769,152.2858777,4,0.089675806,0,3060,0,5.795221329,0,0
"1689","gar","Galeya",371.2779503,175.1307301,2,0.027856201,0,2620,0,5.23030138,0,0
"1690","gas","Adiwasi Garasia",361.2023849,5453.999847,1,0.003230856,0,100000,0,4.598775148,0,0
"1691","gat","Kenati",1916.283508,86.24958543,3,0.066702157,0,950,0,6.958115339,0,0
"1692","gau","Mudhili Gadaba",768.8763428,733.6549936,3,0.023463409,0,8000,0,5.91158843,0,0
"1693","gaw","Nobonob",1746.354324,211.0337103,12,0.17547544,0,5000,0,6.392463326,0,0
"1694","gax","Borana-Arsi-Guji Oromo",915.484726,316038.6101,30,0.005876516,0,3949600,0,5.863771081,0,0
"1695","gay","Gayo",1160.062042,7681.642454,3,0.005927231,0,300000,0,6.778681517,0,0
"1696","gaz","West Central Oromo",1199.301025,115405.9849,33,0.008650523,0,8920000,0,6.48571682,0,1
"1697","gbb","Kaytetye",225.6263847,9654.217798,4,0.008510421,0,140,0,4.474387765,0,0
"1698","gbd","Karadjeri",144.3531837,11799.34016,2,0.003946884,0,26,0,4.387747765,0,0
"1699","gbe","Niksek",1635.051239,726.6964713,4,0.030067801,0,930,0,6.233786583,0,0
"1700","gbf","Gaikundi",608.9898071,192.7799782,6,0.073343708,0,1200,0,5.62084341,0,0
"1701","gbg","Gbanziri-Boraka",166.0248985,3186.715403,12,0.032808571,0,17500,0,4.366431117,0,0
"1702","gbh","Defi Gbe",110.8378437,74.7405984,2,0.053335688,0,13500,0,4.426436424,0,0
"1703","gbi","Galela",414.3002625,4593.216973,6,0.00483546,0,79000,0,5.966472626,0,0
"1704","gbj","Bodo Gadaba",768.8763428,444.6882578,1,0.012767509,0,8000,0,5.91158843,0,0
"1705","gbk","Gaddi",4040.362549,2601.784393,7,0.031713038,0,110000,0,7.142654419,0,0
"1706","gbl","Gamit",354.8303795,657.8130205,4,0.038102527,0,284000,0,5.146704555,0,0
"1707","gbm","Garhwali",4311.147461,14591.47751,7,0.011595669,0,2920000,0,6.767385483,0,0
"1708","gbn","Mo'da",202.3870926,672.4483133,2,0.01872124,0,600,0,3.809352517,0,0
"1709","gbo","Northern Grebo",224.0685272,7332.503166,9,0.017938745,0,84500,0,4.36089468,0,0
"1710","gbp","Gbaya-Bossangoa",272.3157908,7936.293903,8,0.011000208,0,200000,0,4.332732757,0,0
"1711","gbq","Gbaya-Bozoum",471.4412537,10072.80504,7,0.011703926,0,32500,0,4.953606129,0,0
"1712","gbr","Gbagyi",416.64785,21438.41522,16,0.010267471,0,700000,0,4.98980844,0,0
"1713","gbs","Gbesi Gbe",204.5183252,169.2482651,4,0.061586688,0,65000,0,4.716890335,0,0
"1714","gbu","Gaagudju",248.6659698,1112.953344,2,0.012241027,0,1,0,4.433883667,1,0
"1715","gbv","Gbanu",298.8959045,15873.94281,5,0.007232365,0,95000,0,4.706969261,0,0
"1716","gbx","Eastern Xwla Gbe",110.8378437,152.6296612,5,0.084025011,0,80000,0,4.426436424,0,0
"1717","gby","Gbari",289.4961548,8511.353457,11,0.017159721,0,350000,0,4.976908684,0,0
"1718","gbz","Zoroastrian Dari",1133.855815,3468.313223,1,0.0031811,0,8000,0,6.39291207,0,0
"1719","gcc","Mali",607.9211121,1394.712236,5,0.028645785,0,2200,0,6.586853743,0,0
"1720","gcd","Ganggalida",136.8323708,3050.205968,3,0.010320683,0,1,0,4.045962512,0,0
"1721","gce","Galice",963.9988403,12990.25453,2,0.003989566,1,0,1,6.166075706,0,0
"1722","gcn","Gaina",1962.103271,43.07741741,3,0.116863772,0,1410,0,7.013994217,0,0
"1723","gda","Gade Lohar",186.8995762,5671.431655,1,0.00348866,0,1010,0,3.956409872,0,0
"1724","gdb","Pottangi Ollar Gadaba",768.8763428,547.2688278,0,0,0,15000,0,5.91158843,0,0
"1725","gdc","Gugu Badhun",531.2752075,18491.62903,5,0.009538748,0,0,0,5.360111237,0,0
"1726","gdd","Gedaged",1746.354324,37.21752339,4,0.066263653,0,6950,0,6.392463326,0,0
"1727","gde","Gude",467.9548645,600.2823948,7,0.051610352,0,96000,0,5.13854599,0,0
"1728","gdf","Guduf-Gava",430.8778992,52.39040676,4,0.130431127,0,55900,0,4.921094418,0,0
"1729","gdg","Ga'dang",1049.937195,409.8672602,4,0.048127145,0,6000,0,6.420091867,0,0
"1730","gdh","Gajirrabeng",298.7491226,19187.15074,5,0.004546605,0,3,0,4.931596994,0,0
"1731","gdi","Gundi",135.964859,5251.725876,8,0.019170469,0,9000,0,4.52796936,0,0
"1732","gdj","Gurdjar",109.1882324,3708.055907,2,0.006920078,0,1,0,3.505824089,0,0
"1733","gdk","Gadang",52.98921204,994.1978697,2,0.015581879,0,2500,0,2.783738613,0,0
"1734","gdl","Dirasha",1353.70813,1032.686584,6,0.036686806,0,65300,0,6.369137764,0,0
"1735","gdm","Laal",109.7311649,131.2551313,4,0.085454003,0,750,0,3.506550074,1,0
"1736","gdn","Umanakaina",925.5508041,497.4429999,6,0.056280356,0,2400,0,6.496482968,0,0
"1737","gdo","Godoberi",1494.213989,51.79643237,5,0.109085782,0,130,0,6.249393225,0,0
"1738","gdq","Mehri",561.8238678,111909.6139,7,0.003162461,0,100800,0,5.204191685,0,0
"1739","gdr","Wipi",41.55844879,2591.36947,7,0.032548633,0,3500,0,3.171231508,0,0
"1740","gdu","Gudu",496.9773712,163.2759556,2,0.042062334,0,5000,0,5.214917302,0,0
"1741","gdx","Godwari",381.8859329,33321.76723,8,0.009250442,0,3000000,0,4.817055941,0,0
"1742","gea","Geruma",567.3654785,815.125543,6,0.040586322,0,9030,0,4.772120476,0,0
"1743","geb","Kire",1692.247772,150.4558113,3,0.055126425,0,2420,0,6.021868944,0,0
"1744","gec","Gboloo Grebo",138.1282726,327.8690259,4,0.055834512,0,64400,0,4.36568594,0,0
"1745","ged","Gade",487.2154236,1843.941966,2,0.012076512,0,72100,0,5.254591465,0,0
"1746","geh","Hutterite German",504.5268097,245682.3665,6,0.000458,0,40000,0,4.883797169,0,0
"1747","gei","Gebe",294.4333801,242.0699037,0,0,0,2650,0,5.47272253,0,0
"1748","gej","Gen",204.5183252,180.5864898,2,0.026114804,0,327000,0,4.716890335,0,1
"1749","gek","Yiwom",1071.028687,68.70920429,3,0.099987296,0,14100,0,5.339579582,0,0
"1750","gel","Ut-Main",146.069519,2121.751645,4,0.021243361,0,36000,0,4.122270346,0,0
"1751","geq","Geme",250.2605591,130.2819979,2,0.040841442,0,550,0,4.171332002,0,0
"1752","ges","Geser-Gorom",610.673584,578.4729317,2,0.006378304,0,36500,0,6.057122231,0,0
"1753","gew","Gera",567.3654785,2152.74402,10,0.047495452,0,200000,0,4.772120476,0,0
"1754","gex","Garre",238.7299423,2553.244698,3,0.01322532,0,57500,0,4.64309597,0,0
"1755","gey","Enya",465.3553619,978.6513157,5,0.020934879,0,15000,0,4.980030179,0,0
"1756","gez","Geez",508.904541,84571.53476,2,0.001282488,0,0,0,5.501544476,0,0
"1757","gfk","Patpatar",606.7848511,556.7313266,2,0.013036375,0,7000,0,6.437785625,0,0
"1758","gga","Gao",373.4177971,152.5711064,2,0.035885191,0,1220,0,5.754378637,0,0
"1759","ggb","Gbii",312.6441154,1482.100754,5,0.021222229,0,5600,0,4.610640883,0,0
"1760","ggd","Gugadj",109.1882324,15253.37427,5,0.010065474,0,0,0,3.505824089,0,0
"1761","gge","Guragone",308.0533142,1028.191965,4,0.025237507,0,60,0,4.756495476,0,0
"1762","ggg","Gurgula",521.1985931,1545.579234,2,0.011498529,0,35300,0,4.379771829,0,0
"1763","ggk","Kungarakany",134.143692,1929.092291,4,0.01723059,0,0,0,4.120710373,1,0
"1764","ggl","Ganglau",2141.664124,54.17170614,4,0.130785971,0,470,0,7.110357523,0,0
"1765","ggt","Gitua",1402.202866,31.1263322,3,0.110507944,0,760,0,6.950956821,0,0
"1766","ggu","Gban",165.5242729,829.2638395,4,0.031144917,0,60000,0,4.192875385,0,0
"1767","ggw","Gogodala",512.1255379,2867.734473,6,0.025409017,0,22000,0,4.056661487,0,0
"1768","gha","Ghadames",222.6250916,212.225376,3,0.053311187,0,10000,0,4.493999004,0,0
"1769","ghe","Southern Ghale",4507.749512,320.9332492,6,0.07017248,0,21500,0,7.108198643,0,0
"1770","ghh","Northern Ghale",4507.749512,177.8829732,3,0.046087819,0,4440,0,7.108198643,0,0
"1771","ghk","Geko Karen",908.1501465,1866.734491,4,0.019958869,0,17000,0,5.81708169,0,0
"1772","ghl","Uncunwee",246.8576584,709.3717993,1,0.010042085,0,16000,0,4.508156061,0,0
"1773","ghn","Ghanongga",282.933665,92.67711118,1,0.02028565,0,2510,0,5.672062238,0,0
"1774","gho","Ghomara",1055.270996,10712.86991,2,0.00409379,0,10000,0,6.470802784,0,0
"1775","ghr","Ghera",326.743391,1.555479492,2,0.437590054,0,10000,0,4.032702506,0,0
"1776","ghs","Guhu-Samane",1763.608978,1477.453353,7,0.026775977,0,13000,0,7.142966628,0,0
"1777","ght","Kutang Ghale",4507.749512,79.03348327,2,0.047657998,0,29,0,7.108198643,0,0
"1778","gia","Kitja",306.7855186,30503.39818,5,0.00685969,0,210,0,4.708735466,0,0
"1779","gid","Gidar",323.4007854,2027.572742,6,0.029119555,0,65700,0,4.433368146,0,0
"1780","gig","Goaria",879.1925125,19620.31691,1,0.00182226,0,25400,0,4.813587844,0,0
"1781","gil","Gilbertese",0,1037.244573,3,0.001837678,0,64040,0,0.77218765,0,1
"1782","gim","Gimi (Eastern Highlands)",2047.476929,838.0711562,5,0.030386828,0,22500,0,6.682682276,0,0
"1783","gin","Hinuq",2350.356934,30.0134278,2,0.080133304,0,5,0,7.008277893,0,0
"1784","gip","Gimi (West New Britain)",797.8806229,300.1188896,4,0.049372298,0,3700,0,6.52510802,0,0
"1785","giq","Hagei Gelao",847.207222,507.2813206,2,0.01297009,0,300,0,5.849804759,0,0
"1786","gir","Red Gelao",1143.029236,171.7831873,5,0.074457515,0,20,0,6.123599768,0,0
"1787","gis","North Giziga",269.8820686,201.6008612,5,0.082301811,0,20000,0,3.989992976,0,0
"1788","git","Gitxsan",857.7390747,151.9909858,1,0.008215738,1,930,1,6.475283623,0,0
"1789","giw","Duoluo Gelao",1143.029236,1198.516292,12,0.033779764,0,1220,0,6.123599768,0,0
"1790","gix","Gilima",189.661644,1799.919089,4,0.023196239,0,12000,0,4.35452795,0,0
"1791","giz","South Giziga",323.4007854,1333.165569,7,0.043596196,0,60000,0,4.433368146,0,0
"1792","gji","Geji",819.1970825,811.2504269,5,0.044854386,0,6000,0,5.055850029,0,0
